"","Attendance","Stadium_Capacity","StadiumUtilization","HomeFouls","HomeTackles","HomeInterceptions","HomeYellow","HomeRed","AwayFouls","AwayTackles","AwayInterceptions","AwayYellow","AwayRed","GoalsScored","HomePassAccuracy","HomeShotAccuracy","AwayPassAccuracy","AwayShotAccuracy","HomeResult","dummyBundesliga","dummyEPL","dummyLaLiga","dummyLigue1","dummySerieA"
"256",0,17393,0,17.5789473684211,16,10.6315789473684,3.10526315789474,0.105263157894737,15.9473684210526,15.7368421052632,8,2.84210526315789,0.105263157894737,1.47368421052632,0.658260151253464,0.275530609741136,0.714836635719173,0.317462216146427,0.315789473684211,0,0,1,0,0
"257",0,60721,0,15.1578947368421,14.8947368421053,9.36842105263158,2.15789473684211,0.157894736842105,15.1052631578947,16.8421052631579,10.3157894736842,1.94736842105263,0.0526315789473684,2.52631578947368,0.818801518715655,0.345221956406167,0.759446138496376,0.327637945130205,0.526315789473684,0,0,1,0,0
"258",0,26354,0,14.7368421052632,16,12.1578947368421,1.84210526315789,0.0526315789473684,13.1578947368421,18.5263157894737,13.3684210526316,2.26315789473684,0.157894736842105,3,0.794277068281179,0.349943563488455,0.759336317892619,0.332091405417134,0.263157894736842,0,0,1,0,0
"259",0,7638,0,15.5789473684211,17.1578947368421,8.73684210526316,1.78947368421053,0,18.1052631578947,16.3157894736842,8.47368421052632,1.84210526315789,0.105263157894737,2,0.777649203279209,0.317818069895632,0.766462910148536,0.404339696929725,0.263157894736842,0,0,1,0,0
"260",0,23576,0,16,14.4210526315789,10,1.84210526315789,0.157894736842105,13.1578947368421,15.3157894736842,11.3157894736842,1.89473684210526,0,2.31578947368421,0.706719122151189,0.267638136717084,0.748478949881666,0.347434582960899,0.368421052631579,0,0,1,0,0
"261",0,28012,0,15.4736842105263,15.3684210526316,9.10526315789474,2.47368421052632,0.105263157894737,15.7368421052632,16.5789473684211,9.47368421052632,2.57894736842105,0.105263157894737,2.57894736842105,0.732573552217616,0.369973155499471,0.766463273134057,0.307973150001014,0.157894736842105,0,0,1,0,0
"262",0,39500,0,15.7894736842105,15,8.63157894736842,2.31578947368421,0.0526315789473684,14.2631578947368,15.4736842105263,9.10526315789474,2.47368421052632,0.105263157894737,2.89473684210526,0.794873446125486,0.334543672701567,0.743478604868626,0.318111566795777,0.473684210526316,0,0,1,0,0
"263",0,8164,0,14.5263157894737,14,10.9473684210526,2.15789473684211,0.105263157894737,13.2631578947368,16.0526315789474,10.1578947368421,1.94736842105263,0.105263157894737,1.73684210526316,0.694580085999467,0.289936607984921,0.666795251861606,0.417664353190669,0.105263157894737,0,0,1,0,0
"264",0,19336,0,16.1052631578947,15.4736842105263,10.0526315789474,2.52631578947368,0.210526315789474,14.7368421052632,16.6315789473684,9.52631578947368,2.78947368421053,0.105263157894737,2.63157894736842,0.699819576118508,0.351251526251526,0.767668938299497,0.295420772671465,0.473684210526316,0,0,1,0,0
"265",0,43883,0,14.8421052631579,14.4210526315789,9.78947368421053,2,0,14.7894736842105,16.0526315789474,10.4736842105263,2.78947368421053,0.0526315789473684,2,0.853642781866805,0.313277713858209,0.743875509057187,0.343636772584141,0.736842105263158,0,0,1,0,0
"266",0,68456,0,13.2105263157895,17.4736842105263,11,2.10526315789474,0,13.9473684210526,15.2631578947368,10.7894736842105,1.36842105263158,0,2.73684210526316,0.826053790816041,0.416920072531528,0.80466921040809,0.346828942662276,0.789473684210526,0,0,1,0,0
"267",91.4736842105263,29000,0.00315426497277677,19.0526315789474,17.6842105263158,10.6315789473684,2.78947368421053,0.105263157894737,16.3157894736842,14.1578947368421,10.3684210526316,2.73684210526316,0.105263157894737,3.15789473684211,0.805219145197647,0.368461502900862,0.757396652599096,0.334909388856757,0.473684210526316,0,0,1,0,0
"268",0,19840,0,14.7894736842105,14.4210526315789,10.4210526315789,2.31578947368421,0.210526315789474,14.4210526315789,14.3684210526316,8.8421052631579,2.63157894736842,0.0526315789473684,2.42105263157895,0.718211306233715,0.308917946880306,0.77116018662083,0.388293899083373,0.315789473684211,0,0,1,0,0
"269",141.526315789474,55000,0.00257320574162679,14.4210526315789,12.3684210526316,9.68421052631579,2.15789473684211,0.105263157894737,16.4736842105263,13.7894736842105,8.47368421052632,2.68421052631579,0.105263157894737,3,0.77739494070346,0.349957498641709,0.792770759458029,0.313862509632022,0.421052631578947,0,0,1,0,0
"270",252.631578947368,24890,0.0101499228182952,13.3684210526316,13.6315789473684,8.42105263157895,1.57894736842105,0.105263157894737,15.9473684210526,16.5789473684211,10.6315789473684,2,0.157894736842105,2.73684210526316,0.840373401662601,0.385040365641637,0.764531445774179,0.315702022435769,0.421052631578947,0,0,1,0,0
"271",0,53289,0,13.8947368421053,14.7368421052632,9.73684210526316,2.31578947368421,0.0526315789473684,14.4210526315789,15.6315789473684,13.0526315789474,1.89473684210526,0.157894736842105,2.52631578947368,0.784101834900705,0.327957057562321,0.783790252382117,0.305327421116895,0.421052631578947,0,0,1,0,0
"272",39170.9473684211,59186,0.661827921610196,12.7894736842105,19.2631578947368,13,1.31578947368421,0.0526315789473684,13.5263157894737,18.2631578947368,17.4736842105263,2.15789473684211,0.105263157894737,3.78947368421053,0.842759308787199,0.390817220146981,0.747221982466497,0.392055751266278,0.631578947368421,0,0,0,1,0
"273",39897.9473684211,67394,0.592010377309865,13.7368421052632,19,14.9473684210526,1.68421052631579,0,11.1052631578947,20.3684210526316,13.5263157894737,1.36842105263158,0.105263157894737,2.42105263157895,0.853378015892907,0.357251435852544,0.79370467148144,0.315929841707909,0.684210526315789,0,0,0,1,0
"274",45159.4736842105,48583,0.929532422538965,10.2631578947368,17.6842105263158,13,1,0,9.68421052631579,17.5789473684211,18.6842105263158,1.68421052631579,0,2.57894736842105,0.892835281515072,0.356924975691757,0.768668481950777,0.345364357864358,0.684210526315789,0,0,0,1,0
"275",22688.5263157895,29778,0.761922436556836,11.8421052631579,21.3684210526316,12.5263157894737,1.57894736842105,0.0526315789473684,12.7368421052632,19.4210526315789,16.5789473684211,1.68421052631579,0.263157894736842,2.15789473684211,0.781635598047099,0.337564482301324,0.770355519681499,0.332800958258624,0.526315789473684,0,0,0,1,0
"276",10128.0526315789,15995,0.633201164837696,11.8947368421053,21.8947368421053,17,1.52631578947368,0,13.1052631578947,18.1052631578947,13.1578947368421,1.63157894736842,0.0526315789473684,2.52631578947368,0.779344552321829,0.351124836997413,0.782780760436022,0.37735332841981,0.368421052631579,0,0,0,1,0
"277",25793.8421052632,41965,0.614651307167,12.0526315789474,18,17.2631578947368,1.21052631578947,0.0526315789473684,12.2631578947368,18.3684210526316,17.4210526315789,1.94736842105263,0.263157894736842,2.21052631578947,0.785806031081136,0.292767969045059,0.741149478453651,0.381553169053169,0.368421052631579,0,0,0,1,0
"278",9315,18523,0.50288830103115,11.6842105263158,17.1052631578947,13.9473684210526,1.52631578947368,0.0526315789473684,12.2631578947368,19.4736842105263,13.4210526315789,1.89473684210526,0.0526315789473684,4,0.819844532965895,0.416745466435869,0.763696782619866,0.345912854775084,0.894736842105263,0,0,0,1,0
"279",24217.2105263158,42115,0.575025775289464,12,20.5789473684211,12.5263157894737,1.57894736842105,0.0526315789473684,14.0526315789474,20.3684210526316,14.3157894736842,2.10526315789474,0.368421052631579,2.42105263157895,0.791263685748613,0.351961617673692,0.797740299709857,0.397750456457887,0.473684210526316,0,0,0,1,0
"280",15795.7368421053,20453,0.772294374522332,12,19.8421052631579,17.1578947368421,1.68421052631579,0,13.1052631578947,16.2105263157895,15.7894736842105,2.36842105263158,0.263157894736842,3.05263157894737,0.760642059063362,0.290560613051244,0.785575157007698,0.367409130257427,0.368421052631579,0,0,0,1,0
"281",29487.2105263158,50186,0.587558492932606,14.6315789473684,16.6842105263158,14.4210526315789,1.47368421052632,0.157894736842105,14.5789473684211,21.3157894736842,13.5789473684211,1.94736842105263,0.0526315789473684,2.52631578947368,0.811940459223206,0.29386961928228,0.765984362923175,0.41024346310724,0.368421052631579,0,0,0,1,0
"282",11953.7368421053,18752,0.637464635351177,12.1578947368421,17.3157894736842,14.4210526315789,1.36842105263158,0.105263157894737,10.4736842105263,18,14.4210526315789,1.73684210526316,0.157894736842105,2.10526315789474,0.783084807944283,0.340261981144617,0.795700141977851,0.299459896828318,0.421052631578947,0,0,0,1,0
"283",15343.9473684211,25636,0.598531259495282,13.5263157894737,17.1578947368421,17.7894736842105,1.78947368421053,0.0526315789473684,12.1052631578947,18.3157894736842,11.9473684210526,1.73684210526316,0.105263157894737,3.21052631578947,0.751028253296128,0.362081193660141,0.800002444941697,0.359373317638225,0.368421052631579,0,0,0,1,0
"284",11831.6842105263,18890,0.626346437825639,12,15.9473684210526,13.4210526315789,1.94736842105263,0.157894736842105,11.0526315789474,21.4210526315789,14.2105263157895,2,0.157894736842105,2.84210526315789,0.80894022650478,0.352999243754091,0.771939609321293,0.467241968557758,0.368421052631579,0,0,0,1,0
"285",22949.2105263158,35624,0.644206448639002,11.3157894736842,17.5789473684211,10.9473684210526,1.57894736842105,0.0526315789473684,14.8947368421053,19.2631578947368,17,2.10526315789474,0.263157894736842,2.89473684210526,0.878704814727661,0.413233550075655,0.820860424592022,0.299049969412117,0.736842105263158,0,0,0,1,0
"286",23151.8947368421,35322,0.655452543367932,13.8947368421053,22.2105263157895,12.1578947368421,1.94736842105263,0.0526315789473684,11.4736842105263,17.4736842105263,16.9473684210526,2,0.157894736842105,2.26315789473684,0.765245308129569,0.272245869433013,0.771421869442361,0.346851978430926,0.421052631578947,0,0,0,1,0
"287",12355.9473684211,32900,0.375560710286354,10.0526315789474,17.2631578947368,15.4210526315789,1.26315789473684,0.105263157894737,12.5789473684211,21.0526315789474,17.0526315789474,1.57894736842105,0.210526315789474,2.63157894736842,0.794157870939712,0.327096381430747,0.772101103070607,0.37760806445017,0.421052631578947,0,0,0,1,0
