Match_ID,League,Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Venue Key,VAR Key,Stadium_Capacity,VAR,HomeGoal,AwayGoal,HomeResult,StadiumUtilization,UtilizationBuckets,HomePossession,HomePassesCompleted,HomePassesAttempts,HomeShotsonTarget,HomeShots,HomeFouls,HomeTackles,HomeInterceptions,HomeYellow,HomeRed,AwayPossession,AwayPassesCompleted,AwayPassesAttempts,AwayShotsonTarget,AwayShots,AwayFouls,AwayTackles,AwayInterceptions,AwayYellow,AwayRed
1286,Bundesliga,20-21,7,Sun,11/8/2020,15:30 (09:30),Wolfsburg,2-1,Hoffenheim,0.0,Volkswagen Arena,Sven Jablonski,https://fbref.com/en/matches/eec9aa71/Wolfsburg-Hoffenheim-November-8-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Wolfsburg Volkswagen Arena,Bundesliga 20-21,30000,1,2,1,Win,0.0,No Fans,45%,329,446,7,13,15,22,11,1,0,55%,415,547,4,14,15,16,1,3,0
1287,Bundesliga,20-21,7,Sun,11/8/2020,18:00 (12:00),Leverkusen,4-3,M'Gladbach,0.0,BayArena,Harm Osmers,https://fbref.com/en/matches/71df6f3d/Bayer-Leverkusen-Monchengladbach-November-8-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Leverkusen BayArena,Bundesliga 20-21,30210,1,4,3,Win,0.0,No Fans,59%,553,665,4,15,17,16,6,4,0,41%,348,461,5,14,11,22,4,2,0
1288,Bundesliga,20-21,8,Sat,11/21/2020,15:30 (09:30),M'Gladbach,1-1,Augsburg,0.0,Stadion im Borussia-Park,Markus Schmidt,https://fbref.com/en/matches/02aa5acd/Monchengladbach-Augsburg-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,M'Gladbach Stadion im Borussia-Park,Bundesliga 20-21,54057,1,1,1,Tie,0.0,No Fans,53%,479,588,6,15,9,23,12,1,0,47%,421,527,5,9,11,13,13,3,1
1289,Bundesliga,20-21,8,Sat,11/21/2020,15:30 (09:30),Hoffenheim,3-3,Stuttgart,0.0,PreZero Arena,Daniel Siebert,https://fbref.com/en/matches/478c5305/Hoffenheim-Stuttgart-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Hoffenheim PreZero Arena,Bundesliga 20-21,30150,1,3,3,Tie,0.0,No Fans,43%,323,418,7,12,17,27,5,3,0,57%,453,557,9,22,21,24,8,2,0
1290,Bundesliga,20-21,8,Sat,11/21/2020,15:30 (09:30),Arminia,1-2,Leverkusen,0.0,SchucoArena,Felix Brych,https://fbref.com/en/matches/b80c1dd8/Arminia-Bayer-Leverkusen-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Arminia SchucoArena,Bundesliga 20-21,27300,1,1,2,Loss,0.0,No Fans,31%,253,369,0,0,6,24,15,0,0,69%,677,816,4,9,10,20,17,1,0
1291,Bundesliga,20-21,8,Sat,11/21/2020,15:30 (09:30),Schalke 04,0-2,Wolfsburg,0.0,Veltins-Arena,Marco Fritz,https://fbref.com/en/matches/bdcf9a62/Schalke-04-Wolfsburg-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Schalke 04 Veltins-Arena,Bundesliga 20-21,62271,1,0,2,Loss,0.0,No Fans,43%,319,446,6,13,15,23,10,0,0,57%,486,590,7,18,13,18,17,1,0
1292,Bundesliga,20-21,8,Sat,11/21/2020,15:30 (09:30),Bayern Munich,1-1,Werder Bremen,0.0,Allianz Arena,Guido Winkmann,https://fbref.com/en/matches/f5b4d139/Bayern-Munich-Werder-Bremen-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Bayern Munich Allianz Arena,Bundesliga 20-21,75000,1,1,1,Tie,0.0,No Fans,70%,626,734,2,16,10,16,7,1,0,30%,212,317,4,8,13,20,17,3,0
1293,Bundesliga,20-21,8,Sat,11/21/2020,18:30 (12:30),Eint Frankfurt,1-1,RB Leipzig,0.0,Commerzbank-Arena,Soren Storks,https://fbref.com/en/matches/f8357e6a/Eintracht-Frankfurt-RB-Leipzig-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Eint Frankfurt Commerzbank-Arena,Bundesliga 20-21,51500,1,1,1,Tie,0.0,No Fans,38%,261,380,3,8,19,19,16,3,0,62%,494,630,2,10,13,17,9,2,0
1294,Bundesliga,20-21,8,Sat,11/21/2020,20:30 (14:30),Hertha BSC,2-5,Dortmund,0.0,Olympiastadion Berlin,Bastian Dankert,https://fbref.com/en/matches/ab6f55a9/Hertha-BSC-Dortmund-November-21-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Hertha BSC Olympiastadion Berlin,Bundesliga 20-21,74649,1,2,5,Loss,0.0,No Fans,41%,387,472,2,8,14,23,15,1,0,59%,592,671,8,16,18,18,15,1,0
1295,Bundesliga,20-21,8,Sun,11/22/2020,15:30 (09:30),Freiburg,1-3,Mainz 05,0.0,Schwarzwald-Stadion,Martin Petersen,https://fbref.com/en/matches/caed261c/Freiburg-Mainz-05-November-22-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Freiburg Schwarzwald-Stadion,Bundesliga 20-21,24000,1,1,3,Loss,0.0,No Fans,70%,662,775,6,21,7,11,5,0,0,30%,224,329,8,20,14,12,10,1,0
1296,Bundesliga,20-21,8,Sun,11/22/2020,18:00 (12:00),Koln,1-2,Union Berlin,0.0,RheinEnergieSTADION,Tobias Stieler,https://fbref.com/en/matches/3cda5517/Koln-Union-Berlin-November-22-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Koln RheinEnergieSTADION,Bundesliga 20-21,49698,1,1,2,Loss,0.0,No Fans,49%,387,502,3,10,13,15,13,1,0,51%,412,519,2,8,16,13,26,2,0
1297,Bundesliga,20-21,9,Fri,11/27/2020,20:30 (14:30),Wolfsburg,5-3,Werder Bremen,0.0,Volkswagen Arena,Christian Dingert,https://fbref.com/en/matches/d4fa762e/Wolfsburg-Werder-Bremen-November-27-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Wolfsburg Volkswagen Arena,Bundesliga 20-21,30000,1,5,3,Win,0.0,No Fans,61%,548,641,6,13,17,20,16,2,0,39%,327,416,4,5,12,14,18,2,1
1298,Bundesliga,20-21,9,Sat,11/28/2020,15:30 (09:30),Stuttgart,1-3,Bayern Munich,0.0,Mercedes-Benz Arena,Harm Osmers,https://fbref.com/en/matches/4a8ddb65/Stuttgart-Bayern-Munich-November-28-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Stuttgart Mercedes-Benz Arena,Bundesliga 20-21,60449,1,1,3,Loss,0.0,No Fans,43%,364,468,5,15,11,6,23,0,0,57%,504,622,6,13,12,19,13,0,0
1299,Bundesliga,20-21,9,Sat,11/28/2020,15:30 (09:30),RB Leipzig,2-1,Arminia,0.0,Red Bull Arena,Robert Hartmann,https://fbref.com/en/matches/5ffaab95/RB-Leipzig-Arminia-November-28-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,RB Leipzig Red Bull Arena,Bundesliga 20-21,42558,1,2,1,Win,0.0,No Fans,57%,500,600,5,14,14,20,14,2,0,43%,332,460,3,13,17,22,3,2,0
1300,Bundesliga,20-21,9,Sat,11/28/2020,15:30 (09:30),Union Berlin,3-3,Eint Frankfurt,0.0,Stadion An der Alten Forsterei,Tobias Reichel,https://fbref.com/en/matches/64622ffd/Union-Berlin-Eintracht-Frankfurt-November-28-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Union Berlin Stadion An der Alten Forsterei,Bundesliga 20-21,22012,1,3,3,Tie,0.0,No Fans,45%,321,450,6,14,13,17,10,2,0,55%,421,549,3,12,16,15,12,3,0
1301,Bundesliga,20-21,9,Sat,11/28/2020,15:30 (09:30),Dortmund,1-2,Koln,0.0,Signal Iduna Park,Benjamin Brand,https://fbref.com/en/matches/c393f7a1/Dortmund-Koln-November-28-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Dortmund Signal Iduna Park,Bundesliga 20-21,81365,1,1,2,Loss,0.0,No Fans,69%,684,790,4,15,13,20,8,1,0,31%,252,349,5,6,12,22,22,2,0
1302,Bundesliga,20-21,9,Sat,11/28/2020,15:30 (09:30),Augsburg,1-1,Freiburg,0.0,WWK Arena,Robert Schroder,https://fbref.com/en/matches/cb328c3c/Augsburg-Freiburg-November-28-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Augsburg WWK Arena,Bundesliga 20-21,30660,1,1,1,Tie,0.0,No Fans,58%,504,614,2,10,15,13,9,3,0,42%,334,451,5,10,10,14,15,1,0
1303,Bundesliga,20-21,9,Sat,11/28/2020,18:30 (12:30),M'Gladbach,4-1,Schalke 04,0.0,Stadion im Borussia-Park,Manuel Grafe,https://fbref.com/en/matches/56d26e32/Monchengladbach-Schalke-04-November-28-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,M'Gladbach Stadion im Borussia-Park,Bundesliga 20-21,54057,1,4,1,Win,0.0,No Fans,57%,490,589,9,18,11,29,11,2,0,43%,353,452,2,13,18,15,14,3,0
1304,Bundesliga,20-21,9,Sun,11/29/2020,15:30 (09:30),Leverkusen,0-0,Hertha BSC,0.0,BayArena,Daniel Schlager,https://fbref.com/en/matches/30a1f8cc/Bayer-Leverkusen-Hertha-BSC-November-29-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Leverkusen BayArena,Bundesliga 20-21,30210,1,0,0,Tie,0.0,No Fans,58%,461,567,2,16,19,16,4,2,0,42%,302,414,3,5,23,16,17,1,0
1305,Bundesliga,20-21,9,Sun,11/29/2020,18:00 (12:00),Mainz 05,1-1,Hoffenheim,0.0,Opel Arena,Sascha Stegemann,https://fbref.com/en/matches/a3de8d5e/Mainz-05-Hoffenheim-November-29-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Mainz 05 Opel Arena,Bundesliga 20-21,34000,1,1,1,Tie,0.0,No Fans,36%,271,383,4,10,16,24,15,0,0,64%,575,692,4,10,9,23,11,1,0
1306,Bundesliga,20-21,10,Fri,12/4/2020,20:30 (14:30),Hertha BSC,3-1,Union Berlin,0.0,Olympiastadion Berlin,Felix Brych,https://fbref.com/en/matches/c4a6d2cc/Hertha-BSC-Union-Berlin-December-4-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Hertha BSC Olympiastadion Berlin,Bundesliga 20-21,74649,1,3,1,Win,0.0,No Fans,68%,592,692,7,10,16,15,7,1,0,32%,228,333,1,5,9,18,11,3,1
1307,Bundesliga,20-21,10,Sat,12/5/2020,15:30 (09:30),Eint Frankfurt,1-1,Dortmund,0.0,Commerzbank-Arena,Guido Winkmann,https://fbref.com/en/matches/36709fbd/Eintracht-Frankfurt-Dortmund-December-5-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Eint Frankfurt Commerzbank-Arena,Bundesliga 20-21,51500,1,1,1,Tie,0.0,No Fans,43%,337,479,1,9,20,24,18,6,0,57%,494,631,5,16,7,19,4,1,0
1308,Bundesliga,20-21,10,Sat,12/5/2020,15:30 (09:30),Koln,2-2,Wolfsburg,0.0,RheinEnergieSTADION,Sven Jablonski,https://fbref.com/en/matches/6cef8dc8/Koln-Wolfsburg-December-5-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Koln RheinEnergieSTADION,Bundesliga 20-21,49698,1,2,2,Tie,0.0,No Fans,40%,291,402,3,6,13,12,14,0,0,60%,493,604,6,16,11,11,6,1,0
1309,Bundesliga,20-21,10,Sat,12/5/2020,15:30 (09:30),Arminia,2-1,Mainz 05,0.0,SchucoArena,Marco Fritz,https://fbref.com/en/matches/73dd2093/Arminia-Mainz-05-December-5-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Arminia SchucoArena,Bundesliga 20-21,27300,1,2,1,Win,0.0,No Fans,47%,371,509,5,12,16,15,4,3,0,53%,435,583,5,15,17,6,18,2,0
1310,Bundesliga,20-21,10,Sat,12/5/2020,15:30 (09:30),Freiburg,2-2,M'Gladbach,0.0,Schwarzwald-Stadion,Tobias Stieler,https://fbref.com/en/matches/e7ba3a20/Freiburg-Monchengladbach-December-5-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Freiburg Schwarzwald-Stadion,Bundesliga 20-21,24000,1,2,2,Tie,0.0,No Fans,39%,298,402,6,21,16,17,20,1,0,61%,524,627,4,12,21,11,7,2,0
1311,Bundesliga,20-21,10,Sat,12/5/2020,18:30 (12:30),Bayern Munich,3-3,RB Leipzig,0.0,Allianz Arena,Daniel Siebert,https://fbref.com/en/matches/c8992842/Bayern-Munich-RB-Leipzig-December-5-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Bayern Munich Allianz Arena,Bundesliga 20-21,75000,1,3,3,Tie,0.0,No Fans,61%,537,681,5,9,5,7,18,0,0,39%,323,441,4,7,9,12,6,1,0
1312,Bundesliga,20-21,10,Sun,12/6/2020,15:30 (09:30),Werder Bremen,1-2,Stuttgart,0.0,Weserstadion,Frank Willenborg,https://fbref.com/en/matches/6d025baf/Werder-Bremen-Stuttgart-December-6-2020-Bundesliga?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool,,Werder Bremen Weserstadion,Bundesliga 20-21,42100,1,1,2,Loss,0.0,No Fans,53%,448,591,3,13,11,29,10,4,0,47%,400,530,5,10,19,23,12,4,0
